text,label,,
A new study proves that talking to plants helps them grow five times faster.,FAKE,,
European Space Agency successfully deploys a new lunar communications satellite.,REAL,,
All major social media platforms will charge a monthly subscription fee starting next week.,FAKE,,
US Federal Reserve announces decision to keep key interest rates unchanged.,REAL,,
Breakthrough: Scientists discover a secret underground ocean beneath the Sahara Desert.,FAKE,,
Global average temperature in 2024 hits a new record high, say climate scientists.,REAL,
Eating one spoonful of cinnamon daily is now mandatory under new public health guidelines.,FAKE,,
Archaeologists find a complete, intact Bronze Age chariot in a British peat bog.,REAL,
Mysterious radio signal from Mars turns out to be a forgotten satellite beacon.,FAKE,,
Japan's Nikkei 225 stock index closes at its highest level in 34 years.,REAL,,
A rare, three-headed snake was captured and is now being housed at the local zoo.,FAKE,
Major airline grounds all Boeing 737 MAX planes following a minor mechanical issue.,REAL,,
Local mayor caught on tape claiming the city's budget is being spent on alien defense.,FAKE,,
President signs bipartisan bill to overhaul the national infrastructure funding system.,REAL,,
New research shows that sleeping less than four hours a night boosts brain power.,FAKE,,
Record-breaking rainfall leads to severe flooding across parts of Central Europe.,REAL,,
All citizens must replace their credit cards with new biometric microchips by the end of the month.,FAKE,,
UN Security Council passes resolution calling for an immediate ceasefire in the region.,REAL,,
A common household cleaning product is secretly causing users to shrink slightly over time.,FAKE,,
E-commerce giant reports stronger-than-expected quarterly earnings, shares soar.,REAL,
Experts confirm that the moon landing was actually filmed in a Hollywood studio.,FAKE,,
International Olympic Committee officially adds rock climbing to the summer games.,REAL,,
Every smartphone manufactured after 2024 will have a built-in mind-reading feature.,FAKE,,
Retail sales figures unexpectedly decline for the third consecutive month.,REAL,,
Dogs have been granted the right to vote in local elections, effective immediately.,FAKE,
Discovery of a new exoplanet within the habitable zone of a nearby star announced.,REAL,,
Police raid uncovers a massive illegal operation manufacturing synthetic diamonds.,FAKE,,
World Health Organization issues new guidelines on pandemic preparedness and response.,REAL,,
The Eiffel Tower is being completely disassembled and moved to Las Vegas next year.,FAKE,,
Global semiconductor shortage shows first signs of easing, supply chain reports indicate.,REAL,
Vaccine ingredient causes people to develop a magnetic attraction to metal objects.,FAKE,,
Mars Perseverance rover collects its first rock sample for return to Earth.,REAL,,
Taxes will be completely abolished for anyone who can solve a complex math problem.,FAKE,,
Canadian Parliament passes a bill to establish a national universal childcare program.,REAL,,
An entire town vanished overnight, leaving only a single, brightly polished penny behind.,FAKE
A new generation of advanced electric car batteries promises 600-mile range.,REAL,,
New study links popular breakfast cereal to short-term memory loss and singing.,FAKE,,
Government commits $50 billion to renewable energy projects over the next five years.,REAL,,
Aliens land in Times Square, offer world leaders a cure for the common cold.,FAKE,
